Month,DepDelayed,ArrDelayed,Cancelled
1,0.20331811841225558,0.23635403167895142,0.028572136059362954
2,0.2278720952293952,0.2647127026400298,0.036181829680484015
3,0.21672969858299923,0.2459153695077018,0.02626726614617994
4,0.16516252428418093,0.19563269277710715,0.017312405747284015
5,0.15858833930129493,0.18948759098323747,0.01027391046903065
6,0.22487575267183096,0.2606934849219193,0.017958975791280918
7,0.19669040069689187,0.21524020951346565,0.016877650569887454
8,0.17315145546393065,0.18937445184303234,0.016062938627651773
9,0.10826979819118963,0.12540579913774616,0.018326591583041847
10,0.10811661168094497,0.12530092322075495,0.005841371436790392
11,0.12694736198382486,0.14950159763946858,0.008519469797734257
12,0.26337809519265704,0.29982310563382863,0.032624532532782344
